cve_mun,municipio,estado,poblacion,tasa_hom_2019s1,tasa_hom_2026s1,delta_homicidio_pct,tasa_control_2019s1,tasa_control_2026s1,delta_control_pct,cuadrante,score
20067,Oaxaca de Juárez,Oaxaca,285221,11.64,3.86,-66.9,29.09,26.65,-8.4,Q1,58.4
20079,Salina Cruz,Oaxaca,80243,21.93,7.48,-65.9,12.69,16.2,27.6,Q2,93.5
20184,San Juan Bautista Tuxtepec,Oaxaca,157569,31.94,1.27,-96.0,6.14,12.69,106.7,Q2,202.7
20318,San Pedro Mixtepec,Oaxaca,51829,19.8,15.44,-22.1,35.64,13.51,-62.1,Q1,-40.1
20482,Santiago Pinotepa Nacional,Oaxaca,59387,10.62,63.99,502.3,10.62,109.45,930.2,Q3,427.9
20515,Santo Domingo Tehuantepec,Oaxaca,71877,24.81,26.43,6.6,13.13,44.52,239.0,Q3,232.4
21015,Amozoc,Puebla,136668,7.88,5.12,-35.0,7.88,16.1,104.2,Q2,139.2
21019,Atlixco,Puebla,146974,21.64,6.8,-68.6,9.07,17.69,95.0,Q2,163.5
21071,Huauchinango,Puebla,105094,25.53,11.42,-55.3,5.67,10.47,84.5,Q2,139.8
21085,Izúcar de Matamoros,Puebla,86673,15.56,12.69,-18.5,8.38,8.08,-3.6,Q1,14.8
21114,Puebla,Puebla,1837080,5.75,4.63,-19.5,12.14,37.61,209.9,Q2,229.4
21132,San Martín Texmelucan,Puebla,160829,24.68,11.19,-54.6,4.43,23.01,419.4,Q2,474.1
21140,San Pedro Cholula,Puebla,149929,9.32,2.67,-71.4,3.58,10.67,197.8,Q2,269.1
21156,Tehuacán,Puebla,338197,14.15,4.44,-68.7,8.13,35.48,336.5,Q2,405.1
21164,Tepeaca,Puebla,89075,23.46,4.49,-80.9,7.04,8.98,27.6,Q2,108.5
22011,El Marqués,Querétaro,279989,5.87,2.5,-57.4,90.26,98.58,9.2,Q2,66.6
22014,Querétaro,Querétaro,1215147,4.4,1.98,-55.1,54.65,82.21,50.4,Q2,105.6
22016,San Juan del Río,Querétaro,319163,6.33,5.01,-20.9,55.01,68.93,25.3,Q2,46.2
23004,Othón P. Blanco,Quintana Roo,257686,5.86,1.16,-80.1,75.82,74.9,-1.2,Q1,78.9
23005,Benito Juárez,Quintana Roo,1026725,22.81,3.8,-83.3,40.08,95.06,137.2,Q2,220.5
23008,Solidaridad,Quintana Roo,409849,38.27,3.66,-90.4,49.65,100.77,102.9,Q2,193.4
23009,Tulum,Quintana Roo,56143,39.79,10.69,-73.1,33.16,233.33,603.6,Q2,676.8
24013,Ciudad Valles,San Luis Potosí,186366,8.78,0.0,-100.0,20.85,309.07,1382.3,Q2,1482.3
24028,San Luis Potosí,San Luis Potosí,983736,10.28,1.63,-84.2,33.57,244.07,627.0,Q2,711.2
24035,Soledad de Graciano Sánchez,San Luis Potosí,366644,10.46,0.82,-92.2,24.21,492.85,1935.6,Q2,2027.7
25001,Ahome,Sinaloa,491376,4.51,1.42,-68.4,26.64,13.23,-50.3,Q1,18.1
25006,Culiacán,Sinaloa,1089600,26.48,41.3,56.0,13.24,21.75,64.3,Q3,8.3
25011,Guasave,Sinaloa,295714,8.14,1.01,-87.5,2.71,3.04,12.2,Q2,99.8
25012,Mazatlán,Sinaloa,522565,9.61,12.44,29.4,19.02,29.85,56.9,Q3,27.5
